run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision
1,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
2,0.99,0.010000000000000009,True,0,0.99,0.010000000000000009,1,0.99
3,0.9999,9.999999999998899e-05,True,0,0.9999,9.999999999998899e-05,1,0.9999
4,0.9999,9.999999999998899e-05,True,0,0.9999,9.999999999998899e-05,1,0.9999
5,0.9999,9.999999999998899e-05,True,0,0.9999,9.999999999998899e-05,1,0.9999
6,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
7,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
8,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
9,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
10,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
11,0.0001,0.9999,True,0,0.0001,0.9999,1,0.0001
12,0.999,0.0010000000000000009,True,0,0.999,0.0010000000000000009,1,0.999
