run_index,agent0_payoff,agent1_payoff,deal,first_proposer_index,last_proposer_payoff,last_responder_payoff,last_timestep,proposer_last_decision_x1,proposer_last_decision_x2,responder_last_response_y1,responder_last_response_y2
1,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.2,0.8,0.1,0.9
2,0.5,0.046666666666666634,False,0,0.5,0.046666666666666634,1,0.3,0.9,0.1,0.9
3,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
4,0.45666666666666667,0.09666666666666668,False,0,0.45666666666666667,0.09666666666666668,1,0.1,0.9,0.2,0.9
5,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.1,0.9,0.2,0.8
6,0.3333333333333333,0.3333333333333333,True,0,0.3333333333333333,0.3333333333333333,1,0,1,0,1
7,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.1,0.9,0.2,0.8
8,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.1,0.9,0.2,0.8
9,0.54,-0.020000000000000018,False,0,0.54,-0.020000000000000018,1,0.2,0.8,0.3,0.9
10,0.42000000000000004,0.07333333333333336,False,0,0.42000000000000004,0.07333333333333336,1,0.2,0.8,0.1,0.9
11,0.4,0.13333333333333333,True,0,0.4,0.13333333333333333,1,0.2,0.8,0,1
12,0.48333333333333334,0.016666666666666663,False,0,0.48333333333333334,0.016666666666666663,1,0.1,0.9,0.3,0.8
